cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,resultado_abrangente,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq,lucro_abrangente
16101,2013,8183030.0,8454.0,8174576.0,5679907.0,4968547.0,-2506385.0,2462162.0,3214483.0,0.0,2683023.0,150571.0,2481211.0,-55251.020000000004,257822.97999999998,343807.98,-162503.0,849891.0,-986806.0,489686.0,5712414.0,-2514839.0,-107251.98,150571.0
16292,2013,32374569.0,0.0,32374569.0,13242523.0,17678415.0,-827639.0,16850776.0,14696154.0,-2413.0,8436031.0,199185.0,30521246.0,-254162.24000000002,692558.76,1560210.76,-747536.0,640354.0,-174700.0,-791407.0,15523793.0,-827639.0,-493373.76,196772.0
16306,2013,7592893.0,933571.0,6659322.0,4542941.0,5128123.0,-765586.0,4362537.0,2464770.0,356370.0,3239920.0,-281397.0,2132780.0,-28917.000000000004,-225264.0,116692.0,-85050.0,359112.0,-208216.0,-122433.0,2296785.0,-1699157.0,-56133.0,74973.0
16497,2013,332309.0,5088.0,327221.0,7343.0,89067.0,-28811734.0,-28722667.0,243242.0,-16161.0,22470.0,175039.0,486.0,-475.66,175962.34,15358.34,-1399.0,11952710.0,-15692688.0,31733555.0,29049888.0,-28816822.0,-923.3399999999999,158878.0
16632,2013,695956.0,249511.0,446445.0,289269.0,643199.0,-361570.0,281629.0,52757.0,0.0,319670.0,39476.0,349282.0,-23952.660000000003,85972.34,59493.34,-70449.0,1755779.0,-803721.0,-891014.0,164816.0,-611081.0,-46496.34,39476.0
16659,2013,20409315.0,0.0,20409315.0,15755470.0,14515807.0,-67815.0,14447992.0,5893508.0,87228.0,13977644.0,62364.0,0.0,325764.88,-570003.12,764943.88,958132.0,1032947.0,-577713.0,-163172.0,5961323.0,-67815.0,632367.12,149592.0
1694,2013,209590.0,38448.0,171142.0,198891.0,24253.0,-1845316.0,-1821063.0,185337.0,0.0,7704.0,61143.0,34557.0,4427.4800000000005,52548.48,-704.5199999999995,13022.0,238098.0,-351170.0,-51179.0,1992205.0,-1883764.0,8594.52,61143.0
16993,2013,1152172.0,0.0,1152172.0,266015.0,387833.0,119096.0,268737.0,764339.0,0.0,92885.0,-15501.0,192834.0,20303.780000000002,-54914.22,22950.780000000002,59717.0,-510869.0,-1572611.0,1841786.0,883435.0,119096.0,39413.22,-15501.0
17329,2013,12654397.0,17374759.0,-4720362.0,2338458.0,7289786.0,0.0,7289786.0,5364611.0,0.0,2183704.0,-9813.0,5568658.0,-131077.14,244630.86,1691190.8599999999,-385521.0,10106.0,-253749.0,235778.0,-12010148.0,-17374759.0,-254443.86,-9813.0
17418,2013,7214.0,224477.0,-217263.0,1163.0,10.0,-579637.0,-579627.0,7204.0,0.0,10.0,78885.0,0.0,199.58,78497.58,-549.42,587.0,-10508.0,-102880.0,133541.0,362364.0,-804114.0,387.41999999999996,78885.0
17442,2013,1437627.0,164543.0,1273084.0,15008.0,674322.0,-2162730.0,-1488408.0,763305.0,62924.0,153603.0,1436747.0,0.0,-24233.5,1483788.5,-58646.5,-71275.0,52451.0,-55006.0,63281.0,2761492.0,-2327273.0,-47041.5,1499671.0
17450,2013,18881716.0,0.0,18881716.0,4308325.0,14283441.0,-13346474.0,936967.0,4598275.0,397668.0,2821154.0,949036.0,3641426.0,-354643.46,1637461.54,901993.54,-1043069.0,130934.0,-203833.0,272977.0,17944749.0,-13346474.0,-688425.54,1346704.0
17493,2013,363334.0,0.0,363334.0,363334.0,0.0,0.0,0.0,363334.0,0.0,0.0,27108.0,0.0,-4353.02,35557.979999999996,-463719.02,-12803.0,59407.0,12278.0,-57396.0,363334.0,0.0,-8449.98,27108.0
17558,2013,178667.0,247279.0,-68612.0,178667.0,0.0,-67662.0,-67662.0,178667.0,0.0,0.0,-2068481.0,0.0,-4197.9800000000005,-2060331.98,-304421.98,-12347.0,-99391000.0,1931000.0,-4780000.0,-950.0,-314941.0,-8149.0199999999995,-2068481.0
17639,2013,28138167.0,0.0,28138167.0,10740804.0,13543527.0,-5706129.0,7837398.0,14594640.0,16849.0,8048103.0,3715945.0,19921291.0,-102924.8,3915740.2,1705409.2,-302720.0,39042.0,-87574.0,63834.0,20300769.0,-5706129.0,-199795.2,3732794.0
17647,2013,34638559.0,146719.0,34491840.0,4832651.0,18848634.0,0.0,18848634.0,15789925.0,0.0,8368702.0,-472169.0,21212169.0,-320692.76,150352.24,1048100.24,-943214.0,265963.0,-253969.0,-20230.0,15643206.0,-146719.0,-622521.24,-472169.0
17671,2013,69541075.0,81513.0,69459562.0,15936633.0,26646633.0,0.0,26646633.0,42894442.0,0.0,13768244.0,-312571.0,34721897.0,-73018.40000000001,-170829.40000000002,3857686.6,-214760.0,-161206.0,-89293.0,37013.0,42812929.0,-81513.0,-141741.59999999998,-312571.0
