cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq,accrual
13412,2010,7751480000000000.0,1.14716e+16,-3720120000000000.0,2450090000000000.0,4295060000000000.0,3380580000000000.0,914480000000000.0,3456420000000000.0,1993640000000000.0,0.0,6238270000000000.0,-5283600000000.0,10256400000000.0,872296400000000.0,-15540000000000.0,431290000000000.0,-379590000000000.0,-83060000000000.0,-4634600000000000.0,-8091020000000000.0,-10256400000000.0,-421033600000000.0
13471,2010,9061110000000000.0,452170000000000.0,8608940000000000.0,3221210000000000.0,6398680000000000.0,4681100000000000.0,1717580000000000.0,2662430000000000.0,3390260000000000.0,-78120000000000.0,8399590000000000.0,-169932000000000.0,251748000000000.0,421618000000000.0,-499800000000000.0,1246220000000000.0,132270000000000.0,-1440170000000000.0,6891360000000000.0,4228930000000000.0,-329868000000000.0,-994472000000000.0
13765,2010,2071400000000000.0,1821880000000000.0,249520000000000.0,348580000000000.0,2124020000000000.0,8086840000000000.0,-5962820000000000.0,-52620000000000.0,926490000000000.0,0.0,1193470000000000.0,-52502800000000.0,101917200000000.0,-201702800000000.0,-154420000000000.0,38750000000000.0,-3570000000000.0,31080000000000.0,6212340000000000.0,6264960000000000.0,-101917200000000.0,63167200000000.0
13781,2010,1.592521e+16,0.0,1.592521e+16,4146320000000000.0,9242010000000000.0,2.2394522e+17,-2.1470321e+17,6683200000000000.0,1781260000000000.0,3242010000000000.0,2432040000000000.0,-185177600000000.0,3601472400000000.0,1278802400000000.0,-544640000000000.0,-1050000000000.0,0.0,0.0,2.3062842e+17,2.2394522e+17,-359462400000000.0,3602522400000000.0
1384,2010,9.337766e+16,65210000000000.0,9.331245e+16,89310000000000.0,1.492368e+16,1.371932e+16,1204360000000000.0,7.845398e+16,0.0,94970000000000.0,9788890000000000.0,-117014400000000.02,322115600000000.0,995635600000000.0,-344160000000000.0,-41470000000000.0,-284600000000000.0,600080000000000.0,9.210809e+16,1.365411e+16,-227145600000000.0,363585600000000.0
13986,2010,1.8913509e+17,2031570000000000.0,1.8710352e+17,5.423823e+16,1.0272838e+17,1.696755e+16,8.576083e+16,8.640671e+16,2.075243e+16,2.257976e+16,4.513883e+16,-858085200000000.0,2.42454548e+16,9355664800000000.0,-2523780000000000.0,4572190000000000.0,-8683910000000000.0,-1879930000000000.0,1.0134269e+17,1.493598e+16,-1665694800000000.0,1.96732648e+16
140,2010,1.112012e+16,1102990000000000.0,1.001713e+16,6831750000000000.0,4976060000000000.0,0.0,4976060000000000.0,6144060000000000.0,4077900000000000.0,0.0,1.818551e+16,-149039000000000.0,289311000000000.0,9635981000000000.0,-438350000000000.0,1.859099e+16,-1.063227e+16,-2018460000000000.0,5041070000000000.0,-1102990000000000.0,-289311000000000.0,-1.8301679e+16
14010,2010,4916480000000000.0,0.0,4916480000000000.0,1880890000000000.0,3220570000000000.0,4.410431e+16,-4.088374e+16,1695910000000000.0,1928960000000000.0,2.516191e+16,6457060000000000.0,-77411200000000.0,2.53121788e+16,-118811200000000.0,-227680000000000.0,2.029213e+16,-1.801887e+16,-1516740000000000.0,4.580022e+16,4.410431e+16,-150268800000000.0,5020048800000000.0
14028,2010,5.890527e+16,334170000000000.0,5.85711e+16,1.191302e+16,2.344929e+16,5814870000000000.0,1.763442e+16,3.545598e+16,9952990000000000.0,95450000000000.0,2.676774e+16,117034800000000.02,-131735199999999.98,765914800000000.0,344220000000000.0,15020000000000.0,254370000000000.0,-311710000000000.0,4.093668e+16,5480700000000000.0,227185200000000.0,-146755200000000.0
14109,2010,3.711245e+16,0.0,3.711245e+16,2.342236e+16,2.093503e+16,1923480000000000.0,1.901155e+16,1.617742e+16,9511500000000000.0,3080280000000000.0,3.718972e+16,46807800000000.0,2989417800000000.0,3422797800000000.0,137670000000000.0,1.680481e+16,-1.094891e+16,-7576500000000000.0,1.81009e+16,1923480000000000.0,90862200000000.0,-1.38153922e+16
