cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq
13285,2018,1815501.0,301.0,1815200.0,1236171.0,1.15492e+16,266140000000000.0,1.128306e+16,6605810000000000.0,5494370000000000.0,5.3766098e+17,1.106752e+16,-99494200000000.0,5.378541158e+17,496095800000000.0,-292630000000000.0,-116520000000000.0,149230000000000.0,0.0,-1.12830599981848e+16,266139999999699.0,-193135800000000.0
13471,2018,433256.0,0.0,433256.0,54839.0,9481170000000000.0,6003020000000000.0,3478150000000000.0,-5148610000000000.0,7643190000000000.0,1740670000000000.0,3468210000000000.0,-435679400000000.06,2586400600000000.0,-1729629400000000.0,-1281410000000000.0,2.704713e+16,-1.411192e+16,-1.456801e+16,-3478149999566744.0,6003020000000000.0,-845730600000000.0
13765,2018,183905.0,2561.0,181344.0,35650.0,5438970000000000.0,268090000000000.0,5170880000000000.0,-3599920000000000.0,4192700000000000.0,0.0,1995620000000000.0,-260698400000000.03,506061600000000.0,-164208400000000.03,-766760000000000.0,8566860000000000.0,-1.850687e+16,-3641850000000000.0,-5170879999818656.0,268089999997439.0,-506061600000000.0
13773,2018,1622155.0,1801.0,1620354.0,563867.0,1.260035e+16,1496170000000000.0,1.110418e+16,3621200000000000.0,4040680000000000.0,-1013110000000000.0,1.05419e+16,-163509400000000.0,-695709400000000.0,1660520600000000.0,-480910000000000.0,3.146706e+16,-3.212655e+16,5516710000000000.0,-1.1104179998379646e+16,1496169999998199.0,-317400600000000.0
13781,2018,2723444.0,7540.0,2715904.0,359647.0,1.319737e+16,1.237271e+16,824660000000000.0,1.403707e+16,1670850000000000.0,-4278190000000000.0,3692200000000000.0,-380762600000000.0,-3539062600000000.0,909477400000000.0,-1119890000000000.0,-274940000000000.0,-3084570000000000.0,782290000000000.0,-824659997284096.0,1.237270999999246e+16,-739127400000000.0
1384,2018,13329178.0,815153.0,12514025.0,5960.0,1.597548e+16,1.465662e+16,1318860000000000.0,1.173163e+17,0.0,166500000000000.0,8946170000000000.0,-73494400000000.0,309165600000000.0,674075600000000.0,-216160000000000.0,6.129387e+16,-3.83042e+16,-4.184155e+16,-1318859987485975.0,1.4656619999184848e+16,-142665600000000.0
13986,2018,53932644.0,549.0,53932095.0,30798892.0,4.1906709e+17,9.226957e+16,3.2679752e+17,1.2025935e+17,6.058678e+16,1.741713e+16,1.3437329e+17,-1.6464544200000002e+16,4.93777158e+16,3.51451858e+16,-4.842513e+16,1.1941427e+17,-5.676333e+16,-6.934104e+16,-3.267975199460679e+17,9.226956999999946e+16,-3.19605858e+16
14109,2018,5838143.0,0.0,5838143.0,3496084.0,3.793182e+16,732160000000000.0,3.719966e+16,2.044961e+16,1.587914e+16,1734390000000000.0,4.262602e+16,-402135000000000.0,2515005000000000.0,3049645000000000.0,-1182750000000000.0,-33070000000000.0,0.0,0.0,-3.719965999416186e+16,732160000000000.0,-780615000000000.0
14133,2018,23662.0,227300.0,-203638.0,18573.0,348170000000000.0,1.786624e+16,-1.751807e+16,-111550000000000.0,268410000000000.0,170350000000000.0,163990000000000.0,20400000000.0,170310400000000.0,-22349600000000.0,60000000000.0,752260000000000.0,-702980000000000.0,-219960000000000.0,1.7518069999796362e+16,1.78662399997727e+16,39600000000.0
14206,2018,15308862.0,22156.0,15286706.0,894017.0,3.490811e+16,5370600000000000.0,2.953751e+16,1.1818051e+17,0.0,1157100000000000.0,3.012804e+16,-831164000000000.0,2770536000000000.0,4855546000000000.0,-2444600000000000.0,1.12944e+16,-4.789687e+16,4.22453e+16,-2.9537509984713296e+16,5370599999977844.0,-1613436000000000.0
14311,2018,35930100.0,2367611.0,33562489.0,6677846.0,1.9593886e+17,6521780000000000.0,1.8941708e+17,1.6336214e+17,6.695114e+16,702150000000000.0,1.493478e+17,-1489370000000000.0,3593280000000000.0,1.733117e+16,-4380500000000000.0,3.685677e+16,-2.296104e+16,-2.965407e+16,-1.894170799664375e+17,6521779997632389.0,-2891130000000000.0
14320,2018,26523851.0,220236.0,26303615.0,8324317.0,1.082646e+17,3718800000000000.0,1.045458e+17,1.5697391e+17,3.33567e+16,283630000000000.0,1.373678e+17,316353000000000.0,-330467000000000.0,7672853000000000.0,930450000000000.0,-789430000000000.0,-64050000000000.0,708820000000000.0,-1.0454579997369638e+17,3718799999779764.0,614097000000000.0
14346,2018,7779990.0,0.0,7779990.0,6234272.0,5.589624e+16,16170000000000.0,5.588007e+16,2.190366e+16,5.090189e+16,46870000000000.0,6.193955e+16,31548600000000.004,-14371399999999.996,1812248600000000.0,92790000000000.0,7.442489e+16,-1.742735e+16,-9.989067e+16,-5.588006999222001e+16,16170000000000.0,61241400000000.0
14460,2018,9829268.0,1687942.0,8141326.0,5919562.0,4.291457e+16,736850000000000.0,4.217772e+16,5.537811e+16,1.679935e+16,2717210000000000.0,3.146157e+16,75201200000000.0,2571231200000000.0,-85698800000000.0,221180000000000.0,1.007759e+16,-1.678785e+16,1.010344e+16,-4.217771999185867e+16,736849998312058.0,145978800000000.0
