cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante,passivo,passivo_financeiro,passivo_operacional,patrimonio_liquido,passivo_circulante,lucro_liquido,receita_vendas,protecao_fiscal,res_opera_liq,res_opera_liq_cont,resultado_financeiro,fco,fco_investimento,fco_financeiro,ativo_operacional_liq,passivo_financeiro_liq,resultado_fin_liq
16101,2020,3749999.0,5716030.0,-1966031.0,2542887.0,21916110.0,15415990.0,6500120.0,15583880.0,14669860.0,-77000.0,884045.0,-24818.300000000007,-28823.300000000007,-28823.300000000007,-72995.0,2333644.0,-2706894.0,30112.0,-6500120.001966031,15415989.99428397,-48176.7
16292,2020,49664906.0,0.0,49664906.0,22911984.0,408513720.0,213444420.0,195069300.0,88135340.0,154403280.0,1390069.0,39469700.0,-577658.3,2511405.7,2511405.7,-1698995.0,440375.0,-94201.0,-380438.0,-195069299.95033512,213444420.0,-1121336.7
16306,2020,1632496.0,0.0,1632496.0,601200.0,21862880.0,1102520.0,20760360.0,-5537920.0,18037510.0,-15698.0,76159.0,144606.76,-296405.24,-289623.24,425314.0,318586.0,-382841.0,417152.0,-20760359.998367503,1102520.0,280707.24
16438,2020,11270.0,0.0,11270.0,1048.0,3800.0,10000000000.0,3790.0,108900.0,3800.0,-574.0,0.0,17.68,-608.32,-608.32,52.0,978546.0,0.0,-1117168.0,-3789.99998873,10000000000.0,34.32
16497,2020,282912.0,46891.0,236021.0,1415.0,1249450.0,0.0,1249450.0,1579670.0,9960.0,-55356.0,0.0,-2951.5400000000004,-49626.54,-49626.54,-8681.0,7691205.0,-1401432.0,-4307482.0,-1249449.999763979,-46891.0,-5729.459999999999
16632,2020,845867.0,525076.0,320791.0,349138.0,5296920.0,1452760.0,3844160.0,3161750.0,2186280.0,143887.0,994701.0,-1693.2,147173.8,147173.8,-4980.0,1911716.0,12659.0,-1179495.0,-3844159.999679209,1452759.999474924,-3286.8
16659,2020,36730202.0,0.0,36730202.0,25135042.0,277630720.0,3228980.0,274401740.0,89671300.0,208066070.0,1688216.0,18619960.0,313164.48000000004,1080308.48,1080308.48,921072.0,2091810.0,-1452796.0,-541765.0,-274401739.96326977,3228980.0,607907.52
16993,2020,1711417.0,8694.0,1702723.0,741827.0,9929040.0,626870.0,9302170.0,7185130.0,4335710.0,198485.0,447131.0,43496.88000000001,114049.88,114049.88,127932.0,50422.0,-937.0,-51487.0,-9302169.998297276,626869.999991306,84435.12
17329,2020,35186248.0,666944.0,34519304.0,7733297.0,274442500.0,151857030.0,122585470.0,77419980.0,53809260.0,2797268.0,12259159.0,-640027.9,4039675.1,4039675.1,-1882435.0,29725.0,-49114.0,-24533.0,-122585469.9654807,151857029.99933305,-1242407.1
17450,2020,45908371.0,2296858.0,43611513.0,10941586.0,306120440.0,213962800.0,92157640.0,152963270.0,48561590.0,304675.0,6966159.0,-501097.78,1277394.22,1277394.22,-1473817.0,992740.0,-753232.0,233528.0,-92157639.95638847,213962799.99770316,-972719.22
17671,2020,108738378.0,323112.0,108415266.0,19060868.0,391816140.0,96101140.0,295715000.0,695567640.0,178750840.0,4770527.0,43126472.0,-194965.86,5148990.14,5148990.14,-573429.0,1471177.0,-1052048.0,-933158.0,-295714999.8915847,96101139.9996769,-378463.14
17892,2020,4229264.0,0.0,4229264.0,1239116.0,21320540.0,54365790.0,-33045250.0,20972100.0,2963860.0,-13761.0,929563.0,-26245.960000000006,37187.039999999986,37187.039999999986,-77194.0,1778477.0,-308673.0,-859296.0,33045250.004229262,54365790.0,-50948.03999999999
17914,2020,127923.0,1606816.0,-1478893.0,6983.0,9424770.0,21691190.0,-12266420.0,-8145540.0,8589900.0,-81048.0,256.0,-26733.18,-29154.18,-29154.18,-78627.0,1245953.0,-2266266.0,887663.0,12266419.998521108,21691189.998393185,-51893.82
17973,2020,30783788.0,1539.0,30782249.0,9272019.0,164986240.0,81020250.0,83965990.0,142851640.0,52619180.0,-5805798.0,5269144.0,-203555.96,-5410659.96,-3231244.96,-598694.0,-96874.0,-6842.0,130849.0,-83965989.96921775,81020249.99999847,-395138.04
18287,2020,46061.0,0.0,46061.0,14298.0,140460.0,566240.0,-425780.0,320150.0,41780.0,2743.0,6079.0,-237.66000000000003,3204.34,3204.34,-699.0,203883.0,-88543.0,-159888.0,425780.000046061,566240.0,-461.34
18368,2020,5720585.0,0.0,5720585.0,1978441.0,38088410.0,13059560.0,25028850.0,19117440.0,29639480.0,701868.0,1451174.0,-132074.7,958248.3,958248.3,-388455.0,273252.0,-163130.0,354638.0,-25028849.994279414,13059560.0,-256380.3
18376,2020,24592358.0,247.0,24592111.0,5507858.0,104669160.0,73267270.0,31401890.0,141254420.0,13724970.0,3382650.0,3696428.0,-71119.5,3520705.5,3520705.5,-209175.0,1325635.0,-937773.0,-468879.0,-31401889.975407887,73267269.99999976,-138055.5
18414,2020,376604.0,27667.0,348937.0,290022.0,2735920.0,17536030.0,-14800110.0,1030120.0,1597410.0,17211.0,169293.0,-121.04,17445.96,17445.96,-356.0,588494.0,-421600.0,-90177.0,14800110.000348937,17536029.999972332,-234.96
18465,2020,36250162.0,0.0,36250162.0,17489071.0,263398970.0,215947460.0,47451510.0,99102650.0,92408410.0,-1521263.0,81241102.0,-91587.16,-1343476.16,1105483.84,-269374.0,-278927.0,236761.0,-135029.0,-47451509.96374984,215947460.0,-177786.84
18660,2020,49106884.0,851284.0,48255600.0,13811803.0,348711060.0,185643440.0,163067620.0,142357780.0,144059510.0,3706986.0,30898458.0,-107431.5,3915529.5,3915529.5,-315975.0,64272.0,-13910.0,-17915.0,-163067619.95174438,185643439.9991487,-208543.5
18708,2020,885454.0,1347897.0,-462443.0,558338.0,3212320.0,0.0,3212320.0,5642220.0,2681140.0,464599.0,180880.0,1754.7400000000002,461192.74,461192.74,5161.0,303913.0,-38928.0,-284554.0,-3212320.000462443,-1347897.0,3406.26
18724,2020,11297846.0,27177.0,11270669.0,415287.0,430350.0,11499450.0,-11069100.0,112548110.0,351920.0,1467052.0,0.0,2194.7000000000007,1462791.7,1462791.7,6455.0,-76949.0,-13388247.0,13543396.0,11069100.011270668,11499449.999972824,4260.299999999998
18775,2020,21256354.0,593082.0,20663272.0,6303152.0,229488430.0,33047220.0,196441210.0,-16924890.0,73634280.0,-1414600.0,1475759.0,-566803.8,-314333.80000000005,400831.2,-1667070.0,3498000.0,-4787000.0,-793000.0,-196441209.97933677,33047219.99940692,-1100266.2
