cd_cvm,dt_fim_exerc,ativo_total,ativo_financeiro,ativo_operacional,ativo_circulante
19917,2010,572175.0,90700.0,481475.0,415115.0
19925,2010,5105236.0,835410.0,4269826.0,310202.0
19933,2010,19461350.0,1278018.0,18183332.0,10159928.0
19992,2010,1415397.0,45661.0,1369736.0,528678.0
20010,2010,3276531.0,1093352.0,2183179.0,1098535.0
20028,2010,806925.0,153497.0,653428.0,381387.0
20060,2010,1445274.0,1853486.0,-408212.0,406666.0
20087,2010,13981014.0,54355.0,13926659.0,8302326.0
20125,2010,912963.0,64369.0,848594.0,194019.0
20141,2010,531750.0,149024.0,382726.0,162254.0
20168,2010,9988534.0,0.0,9988534.0,5083508.0
20214,2010,3416569.0,0.0,3416569.0,708255.0
20257,2010,4575830.0,298030.0,4277800.0,1081396.0
20265,2010,7435973.0,0.0,7435973.0,3556638.0
20320,2010,14665324.0,0.0,14665324.0,3271910.0
20338,2010,2361609.0,0.0,2361609.0,680397.0
20346,2010,1070574.0,0.0,1070574.0,1001648.0
20354,2010,1321802.0,2156698.0,-834896.0,440528.0
20362,2010,1629669.0,40900.0,1588769.0,1407924.0
20370,2010,985351.0,1146623.0,-161272.0,368546.0
20400,2010,600360.0,112484.0,487876.0,109662.0
20419,2010,4202989.0,4103.0,4198886.0,470675.0
20435,2010,3135070.0,102323.0,3032747.0,1901013.0
20451,2010,2171424.0,0.0,2171424.0,1752197.0
20478,2010,15386410.0,0.0,15386410.0,11520847.0
20486,2010,2561397.0,2588.0,2558809.0,1801365.0
20494,2010,2294331.0,71882.0,2222449.0,723472.0
20524,2010,3218235.0,57504.0,3160731.0,2589309.0
20532,2010,374662683.0,1037.0,374661646.0,56800151.0
20540,2010,1496106.0,641296.0,854810.0,321704.0
20567,2010,9104767.0,1142258.0,7962509.0,118589.0
20575,2010,44529225.0,277076.0,44252149.0,14740201.0
20605,2010,2146714.0,471442.0,1675272.0,1178692.0
20613,2010,888811.0,0.0,888811.0,625025.0
2062,2010,89495.0,275772.0,-186277.0,6104.0
20621,2010,2022844.0,48440.0,1974404.0,1196364.0
20630,2010,814146.0,42533.0,771613.0,471059.0
20656,2010,520292.0,2353.0,517939.0,212083.0
20680,2010,4663591.0,0.0,4663591.0,29517.0
20702,2010,2524188.0,0.0,2524188.0,1574933.0
20710,2010,1146524.0,0.0,1146524.0,209355.0
20745,2010,3116573.0,405240.0,2711333.0,737876.0
20753,2010,10890227.0,8573.0,10881654.0,156665.0
20770,2010,1381471.0,953091.0,428380.0,791574.0
20788,2010,22599586.0,70780.0,22528806.0,9400239.0
20796,2010,8399607.0,112484.0,8287123.0,438525.0
20800,2010,600948.0,171501.0,429447.0,263471.0
20842,2010,4971093.0,1382655.0,3588438.0,1860527.0
20850,2010,184680.0,0.0,184680.0,91502.0
20877,2010,2099216.0,0.0,2099216.0,1582949.0
20885,2010,3309362.0,0.0,3309362.0,8634.0
20907,2010,801340.0,735905.0,65435.0,203469.0
20915,2010,6791338.0,2170442.0,4620896.0,4585296.0
20931,2010,2628350.0,0.0,2628350.0,1292481.0
20958,2010,9746222.0,518159.0,9228063.0,70192.0
20966,2010,2684031.0,570766.0,2113265.0,1293760.0
20974,2010,1335669.0,236319.0,1099350.0,449029.0
20982,2010,3985986.0,6038.0,3979948.0,1028183.0
20990,2010,3212014.0,832077.0,2379937.0,2324297.0
2100,2010,178747.0,117423.0,61324.0,121819.0
21008,2010,1170833.0,0.0,1170833.0,375906.0
21016,2010,804536.0,36143.0,768393.0,390428.0
21032,2010,1766690.0,71441374.0,-69674684.0,468889.0
21040,2010,1231894.0,485959.0,745935.0,410176.0
21067,2010,1655804.0,0.0,1655804.0,1301858.0
21091,2010,6170867.0,0.0,6170867.0,1676028.0
21113,2010,17072742.0,564632.0,16508110.0,337417.0
21121,2010,12268229.0,1278286.0,10989943.0,8343701.0
21130,2010,1799696.0,0.0,1799696.0,1481455.0
21148,2010,3268711.0,272988.0,2995723.0,2360323.0
21156,2010,614414.0,0.0,614414.0,286888.0
21172,2010,4568882.0,46418.0,4522464.0,1625545.0
21180,2010,536130.0,0.0,536130.0,199891.0
21199,2010,16588422.0,324818.0,16263604.0,396264.0
21202,2010,607330831.0,424609.0,606906222.0,263170862.0
21237,2010,6279555.0,1109.0,6278446.0,1661483.0
21261,2010,890655.0,97176.0,793479.0,233301.0
21300,2010,2175573.0,0.0,2175573.0,354816.0
21342,2010,3407516.0,0.0,3407516.0,2404378.0
21350,2010,1679542.0,486636.0,1192906.0,1308165.0
21377,2010,2256186.0,115285.0,2140901.0,15193.0
21393,2010,6266517.0,71882.0,6194635.0,1329893.0
21415,2010,65806.0,1457978.0,-1392172.0,42223.0
21431,2010,9987182.0,1560.0,9985622.0,4487508.0
21440,2010,275069.0,0.0,275069.0,187550.0
21482,2010,1600208.0,115497000.0,-113896792.0,446129.0
21490,2010,5669819.0,19485229.0,-13815410.0,1471470.0
21520,2010,1615462.0,983430.0,632032.0,346775.0
21539,2010,127861.0,160393.0,-32532.0,60607.0
21555,2010,914188.0,485084.0,429104.0,143633.0
21610,2010,22633975.0,26260.0,22607715.0,2547589.0
21636,2010,431538.0,832077.0,-400539.0,145560.0
21652,2010,1399035.0,437038.0,961997.0,621855.0
21717,2010,69751.0,475569.0,-405818.0,68316.0
21733,2010,3771406.0,570870.0,3200536.0,2536321.0
21741,2010,67.0,7379296.0,-7379229.0,67.0
21776,2010,552541.0,56446.0,496095.0,97974.0
21792,2010,2571023.0,347055.0,2223968.0,251598.0
21806,2010,439889.0,11122.0,428767.0,133394.0
21881,2010,1328168.0,0.0,1328168.0,783326.0
21903,2010,2444185.0,521915.0,1922270.0,456199.0
22020,2010,2928483.0,0.0,2928483.0,946423.0
22055,2010,2061292.0,21826.0,2039466.0,1467670.0
22110,2010,314910.0,0.0,314910.0,70405.0
22128,2010,558706.0,66188.0,492518.0,125333.0
22144,2010,2223754.0,165200.0,2058554.0,104528.0
22187,2010,2695652.0,0.0,2695652.0,2446144.0
22217,2010,354070.0,121518.0,232552.0,347204.0
22292,2010,170709.0,62835.0,107874.0,179.0
22349,2010,268156.0,594988.0,-326832.0,209067.0
22357,2010,2335219.0,0.0,2335219.0,99034.0
22365,2010,1054740.0,1222215.0,-167475.0,221597.0
22373,2010,442332.0,25408.0,416924.0,283552.0
22381,2010,1514042.0,74684.0,1439358.0,591468.0
22438,2010,1115508.0,86555.0,1028953.0,204575.0
22454,2010,521803.0,0.0,521803.0,251964.0
22470,2010,3927780.0,54133.0,3873647.0,2895585.0
22497,2010,2453131.0,44443.0,2408688.0,177391.0
22500,2010,294193.0,0.0,294193.0,124954.0
22519,2010,332499.0,2812.0,329687.0,186223.0
22551,2010,1340720.0,0.0,1340720.0,579348.0
22560,2010,337920.0,1327.0,336593.0,202189.0
22594,2010,1133738.0,0.0,1133738.0,93408.0
22691,2010,724769.0,362960.0,361809.0,164736.0
22756,2010,17748171.0,0.0,17748171.0,5126897.0
23221,2010,211031.0,20207.0,190824.0,27606.0
2429,2010,1144760.0,30998850.0,-29854090.0,188873.0
2437,2010,146901002.0,0.0,146901002.0,32805947.0
2453,2010,33555834.0,44277.0,33511557.0,8085576.0
2461,2010,5001872.0,600613.0,4401259.0,1211010.0
2488,2010,21885.0,0.0,21885.0,2121.0
2909,2010,523244.0,0.0,523244.0,286603.0
3069,2010,1188843.0,11453.0,1177390.0,697456.0
3077,2010,603391.0,0.0,603391.0,234349.0
3115,2010,418523.0,152764.0,265759.0,206929.0
3158,2010,3324673.0,109494.0,3215179.0,1567149.0
3182,2010,479890.0,268266.0,211624.0,65122.0
3190,2010,12640339.0,0.0,12640339.0,3021438.0
3298,2010,1280739.0,1170829.0,109910.0,146570.0
3328,2010,22069415.0,488041.0,21581374.0,3095221.0
3336,2010,543302.0,0.0,543302.0,290742.0
3395,2010,263202.0,0.0,263202.0,140739.0
3654,2010,1119318.0,0.0,1119318.0,63351.0
3980,2010,42891260.0,57658.0,42833602.0,12945944.0
